id;name;taxId;gender;dateOfBirth;status;externalCode;isEnriched;enrichedAt;enrichedBy;createdAt;createdBy;updatedAt;updatedBy;phone;email;lastOrderDate
49;Sr. Bernardo Fernandes;398.625.714-46;M;1964-08-23;1;;True;2025-07-11T18:56:19;kevin66;2025-06-09T06:28:32;ferreiraotavio;2025-06-09T06:28:32;ferreiraotavio;554116910697;sr.22@gmail.com;2025-10-31T09:42:37
50;Henry Vasconcelos;47.196.835/0001-22;M;1966-06-18;2;;True;2025-05-03T01:12:28;ndias;2024-08-30T15:08:31;wcampos;2024-08-30T15:08:31;wcampos;6195749655;henry43@gmail.com;2025-01-02T13:38:14
51;João Miguel Castro;32.419.708/0001-78;F;1982-03-22;1;TFTZ8622;False;;;2024-01-18T20:10:53;emilly83;2024-01-18T20:10:53;emilly83;8496169283;joão88@yahoo.com.br;2025-08-03T23:42:36
52;José Miguel da Conceição;139.672.508-30;O;1967-05-14;2;;True;2025-09-09T03:45:46;anthony-gabrielaraujo;2025-07-27T01:10:45;clima;2025-07-27T01:10:45;clima;554119860208;josé61@gmail.com;
53;Maria Julia Rios;52.187.430/0001-68;M;1990-10-11;1;;True;2025-07-08T13:03:30;gabriela99;2024-01-10T01:49:39;ksales;2024-01-10T01:49:39;ksales;5195474642;maria44@bol.com.br;2025-11-04T19:18:11
54;Pedro Henrique Costela;708.615.432-62;F;1987-12-20;2;;True;2025-06-09T03:28:47;ana-julia33;2025-04-29T17:14:51;bruna44;2025-04-29T17:14:51;bruna44;7164811150;pedro80@ig.com.br;
55;Mariah Lima;743.189.560-75;;1951-10-28;1;;False;;;2024-03-08T16:26:49;nascimentoana-livia;2024-03-08T16:26:49;nascimentoana-livia;5503110259545;mariah36@hotmail.com;2025-08-10T16:07:32
56;Ana Montenegro;96.412.075/0001-59;F;1950-11-12;1;DBFK6783;False;;;2025-08-23T19:30:27;peixotomateus;2025-08-23T19:30:27;peixotomateus;1122865796;ana29@uol.com.br;2025-09-29T13:29:54
57;Maria Cecília Gomes;752.193.406-70;M;1983-01-04;1;;False;;;2024-12-01T04:16:35;emanuelsousa;2024-12-01T04:16:35;emanuelsousa;5507150532837;maria21@hotmail.com;2025-10-09T19:49:17
58;Ana Lívia Silveira;514.706.293-99;F;1952-04-23;2;;True;2025-11-15T16:39:22;toliveira;2025-11-14T23:56:45;goncalveshenrique;2025-11-14T23:56:45;goncalveshenrique;4175128745;ana32@bol.com.br;
59;Srta. Sabrina Borges;80.597.463/0001-11;;1953-04-25;1;;False;;;2024-12-18T02:48:18;wfogaca;2024-12-18T02:48:18;wfogaca;556159544251;srta.41@yahoo.com.br;2025-09-08T12:01:05
60;Luiz Fernando Abreu;47.236.901/0001-40;F;1969-03-06;1;;True;2025-09-19T13:03:12;aragaojoao-guilherme;2025-08-02T05:08:09;fogacapedro;2025-08-02T05:08:09;fogacapedro;8183498685;luiz42@bol.com.br;2025-09-16T20:39:04
61;Maria Flor Cavalcante;189.067.245-94;M;2007-06-03;1;;False;;;2024-09-21T03:02:16;vcampos;2024-09-21T03:02:16;vcampos;2150245394;maria74@yahoo.com.br;2025-06-17T19:09:11
62;Eloah Rodrigues;638.194.720-96;F;1981-01-14;1;;False;;;2025-10-06T00:45:12;mmoura;2025-10-06T00:45:12;mmoura;551107230566;eloah68@ig.com.br;2025-11-12T12:42:14
63;Otto Castro;043.167.952-52;F;1953-08-16;2;;False;;;2025-06-28T12:57:53;melomarcos-vinicius;2025-06-28T12:57:53;melomarcos-vinicius;556160014550;otto14@bol.com.br;
64;Luara Cassiano;578.024.169-49;F;1950-02-20;2;;True;2025-08-14T05:04:56;lorena61;2025-07-24T14:43:41;qnovais;2025-07-24T14:43:41;qnovais;3000931537;luara82@gmail.com;
65;Cauê da Conceição;534.270.816-80;F;1996-08-27;2;;False;;;2025-11-10T19:58:53;esilva;2025-11-10T19:58:53;esilva;553170430267;cauê91@bol.com.br;
66;Luiz Miguel Correia;79.543.268/0001-20;M;1972-02-17;1;;True;2025-07-20T07:03:14;imonteiro;2025-05-28T04:14:04;theocasa-grande;2025-05-28T04:14:04;theocasa-grande;5508109103029;luiz9@gmail.com;2025-06-20T15:19:33
67;Dra. Lívia Peixoto;942.035.617-52;F;1957-01-03;2;XKCT0910;True;2025-11-27T15:31:55;pachecoanna-liz;2025-07-21T03:43:50;lorenamonteiro;2025-07-21T03:43:50;lorenamonteiro;6178090058;dra.55@ig.com.br;
68;Srta. Ana Beatriz Mendes;503.948.162-42;F;1990-01-11;2;;False;;;2025-05-28T21:39:39;rbarbosa;2025-05-28T21:39:39;rbarbosa;558467120706;srta.80@uol.com.br;
69;Ágatha Leão;04.629.385/0001-01;M;1953-06-18;2;LPLY4618;False;;;2024-04-30T10:53:25;antonellapeixoto;2024-04-30T10:53:25;antonellapeixoto;2101505011;ágatha58@ig.com.br;2025-04-11T20:19:21
70;Danilo Teixeira;05.198.643/0001-05;M;1992-03-23;2;;True;2025-05-06T09:06:41;nicole36;2025-03-07T04:20:50;fernando53;2025-03-07T04:20:50;fernando53;5503110887134;danilo82@yahoo.com.br;
71;Marcelo Cassiano;493.275.186-91;M;1972-10-02;1;;False;;;2025-09-17T11:16:02;qmoura;2025-09-17T11:16:02;qmoura;5505108014807;marcelo72@gmail.com;2025-10-31T20:05:51
72;Maria Luísa Pires;652.894.073-83;M;1995-04-18;2;XCDC5991;False;;;2025-04-11T10:37:08;vargasvicente;2025-04-11T10:37:08;vargasvicente;9009306314;maria95@uol.com.br;2025-05-02T19:25:36
73;Theodoro Garcia;386.245.791-55;F;2006-07-20;1;YPOS9656;False;;;2025-06-18T04:10:55;esterramos;2025-06-18T04:10:55;esterramos;7177296070;theodoro1@yahoo.com.br;2025-09-11T23:07:41
74;Ravy Câmara;249.713.085-04;M;1979-09-29;1;IYMH0601;True;2024-11-06T23:08:26;das-nevesluiz-fernando;2024-01-30T19:04:14;arthur-miguel69;2024-01-30T19:04:14;arthur-miguel69;8453729481;ravy41@bol.com.br;2025-07-12T13:10:10
75;Srta. Ana Julia Freitas;854.923.076-65;F;2005-03-22;2;;False;;;2025-10-25T23:16:24;borgesbento;2025-10-25T23:16:24;borgesbento;5006793169;srta.55@ig.com.br;
76;Vinicius Fogaça;648.935.702-00;M;1996-06-23;1;;False;;;2025-05-05T01:21:56;ana-vitoriamoura;2025-05-05T01:21:56;ana-vitoriamoura;555161418512;vinicius46@yahoo.com.br;2025-11-13T12:13:40
77;Laura Nogueira;508.314.672-07;M;1969-04-15;1;YDBX2052;False;;;2025-03-30T08:18:59;tguerra;2025-03-30T08:18:59;tguerra;5504170584070;laura86@hotmail.com;2025-11-15T20:56:07
78;Dante Cunha;190.678.534-10;M;1957-01-03;1;;False;;;2025-02-10T14:26:01;caldeiramariane;2025-02-10T14:26:01;caldeiramariane;8195510097;dante13@yahoo.com.br;2025-11-03T11:48:08
79;Davi Lucas das Neves;612.738.495-82;F;2000-05-28;1;;True;2025-04-13T01:27:29;stephanypastor;2025-02-13T12:02:10;csampaio;2025-02-13T12:02:10;csampaio;2139446996;davi43@uol.com.br;2025-10-18T20:39:19
80;Pedro Fogaça;75.698.321/0001-00;F;1984-08-16;1;;False;;;2024-07-05T14:54:15;mirella36;2024-07-05T14:54:15;mirella36;5004920781;pedro57@yahoo.com.br;2025-10-03T19:35:54
81;Maria Júlia Carvalho;381.409.276-78;O;1982-06-14;2;;False;;;2025-01-05T07:01:14;ppastor;2025-01-05T07:01:14;ppastor;558462834177;maria36@uol.com.br;
82;Maitê Campos;872.061.945-67;M;1997-10-31;1;;False;;;2025-06-30T08:23:54;ana-julia67;2025-06-30T08:23:54;ana-julia67;8191983225;maitê17@bol.com.br;2025-09-09T20:45:54
83;Jade Casa Grande;987.630.251-59;F;1956-10-27;1;;False;;;2025-09-02T22:42:24;portopedro-miguel;2025-09-02T22:42:24;portopedro-miguel;4154821574;jade71@ig.com.br;2025-10-27T09:46:43
84;Mirella da Conceição;057.829.614-49;F;1995-02-21;1;;True;2025-09-03T12:35:00;mirella31;2025-08-10T04:13:26;laurada-rosa;2025-08-10T04:13:26;laurada-rosa;5508456125643;mirella21@yahoo.com.br;2025-10-21T20:53:40
85;João Felipe Santos;846.531.927-82;F;1968-11-02;1;MUJC1512;False;;;2025-03-23T08:51:02;wcavalcante;2025-03-23T08:51:02;wcavalcante;5506112704932;joão16@yahoo.com.br;2025-10-31T14:08:22
86;Davi da Costa;714.386.952-09;M;1975-12-16;2;;True;2025-11-05T07:58:14;vianaolivia;2025-11-02T11:20:41;almeidabianca;2025-11-02T11:20:41;almeidabianca;1180972364;davi32@uol.com.br;
87;Josué Garcia;956.834.720-83;M;1950-06-23;1;;False;;;2025-06-22T02:50:49;ifonseca;2025-06-22T02:50:49;ifonseca;5503157582681;josué26@yahoo.com.br;2025-11-24T12:04:58
88;Pedro Lucas Lopes;512.473.968-19;F;2007-02-28;1;KQPJ6835;False;;;2024-05-14T14:47:24;cardosoisabella;2024-05-14T14:47:24;cardosoisabella;555197690824;pedro63@ig.com.br;2025-11-25T18:01:05
89;Antony Pastor;753.290.841-05;M;1951-01-04;1;;True;2025-08-20T12:01:50;sbarbosa;2024-01-17T21:39:51;silveiraana-cecilia;2024-01-17T21:39:51;silveiraana-cecilia;4169966819;antony28@bol.com.br;2025-11-04T21:51:15
90;Eloah Novaes;580.279.416-01;M;1977-04-01;1;;False;;;2024-04-25T03:25:14;pmartins;2024-04-25T03:25:14;pmartins;2113804104;eloah24@hotmail.com;2025-11-26T19:14:10
91;Luiz Henrique Gomes;10.467.258/0001-56;F;1968-07-02;2;;True;2025-11-13T13:39:49;luiz-henriquegoncalves;2025-10-18T14:10:18;esther51;2025-10-18T14:10:18;esther51;5501139559458;luiz48@yahoo.com.br;
92;Hellena Melo;567.814.920-20;M;1993-09-15;2;;True;2025-11-08T12:11:51;luiz-otavioalves;2025-09-17T09:56:12;cbarros;2025-09-17T09:56:12;cbarros;556103202046;hellena76@bol.com.br;
93;Lara Cirino;987.241.536-64;;1996-08-11;2;;True;2025-11-17T07:21:22;bruno45;2025-08-19T10:42:16;aparecidamaria-vitoria;2025-08-19T10:42:16;aparecidamaria-vitoria;5506155016340;lara51@ig.com.br;
94;Yan Lopes;295.784.603-92;M;1964-06-22;2;;False;;;2024-03-28T05:35:16;almeidaenzo;2024-03-28T05:35:16;almeidaenzo;5508130061315;yan8@ig.com.br;2025-05-28T13:00:10
95;Murilo Pires;739.086.452-47;M;1955-07-04;2;ABTK5309;False;;;2025-05-19T21:19:28;palmeida;2025-05-19T21:19:28;palmeida;8481476692;murilo52@uol.com.br;
96;Bianca da Rosa;54.826.790/0001-98;M;2000-12-10;1;TPHY3905;False;;;2025-03-20T02:42:57;felipenovais;2025-03-20T02:42:57;felipenovais;8435229942;bianca51@hotmail.com;2025-10-21T10:13:56
97;Ravi Caldeira;048.539.127-97;F;1958-04-15;1;;True;2025-08-12T18:15:00;guerrabrayan;2025-04-01T21:19:52;fernando73;2025-04-01T21:19:52;fernando73;5502161698031;ravi31@yahoo.com.br;2025-09-16T20:36:21
98;Maria Alice Porto;09.734.215/0001-00;M;1986-09-21;1;;False;;;2025-03-12T23:54:20;esther47;2025-03-12T23:54:20;esther47;558401261061;maria89@gmail.com;2025-08-22T11:39:12
99;Eloá Ferreira;51.263.478/0001-45;O;1963-11-09;1;;True;2025-08-11T07:40:21;fcasa-grande;2025-03-15T08:16:33;bryan34;2025-03-15T08:16:33;bryan34;3159755692;eloá55@hotmail.com;2025-11-12T22:44:22
100;Ayla Pires;360.129.784-13;M;1998-01-14;1;;False;;;2025-07-18T07:38:49;ian29;2025-07-18T07:38:49;ian29;6135559865;ayla14@gmail.com;2025-08-09T21:12:43
101;Lucas das Neves;34.659.071/0001-12;M;1962-01-07;2;;False;;;2024-01-11T16:42:12;camargomateus;2024-01-11T16:42:12;camargomateus;2123407385;lucas49@hotmail.com;2025-03-12T19:05:42
102;Lara da Rosa;941.657.308-66;;1949-12-06;1;DEMU3059;False;;;2025-01-06T21:24:08;ana-liz66;2025-01-06T21:24:08;ana-liz66;8000281877;lara42@yahoo.com.br;2025-10-18T13:33:50
103;Manuela Rocha;41.375.960/0001-13;F;1957-11-12;2;;False;;;2025-05-17T13:49:02;tduarte;2025-05-17T13:49:02;tduarte;6187248905;manuela36@ig.com.br;2025-06-01T13:09:36
104;Luiz Gustavo Moraes;528.431.976-19;F;1959-07-29;2;YWWD1801;True;2025-10-03T11:16:52;benicioabreu;2025-09-01T23:13:23;monteirocaleb;2025-09-01T23:13:23;monteirocaleb;6104050707;luiz87@hotmail.com;
105;Luiz Henrique Correia;62.934.587/0001-63;M;1953-01-26;2;;True;2025-11-27T15:35:47;ana-carolinasilva;2025-11-26T21:22:00;gandrade;2025-11-26T21:22:00;gandrade;9001347729;luiz96@ig.com.br;
106;Ana Beatriz Gomes;439.852.016-33;M;1964-12-12;2;;False;;;2025-08-26T10:27:49;zda-luz;2025-08-26T10:27:49;zda-luz;551189413543;ana1@gmail.com;
107;Heloísa Mendonça;592.386.417-73;F;1950-04-16;1;;False;;;2025-08-23T00:43:44;britoalicia;2025-08-23T00:43:44;britoalicia;558483110172;heloísa39@yahoo.com.br;2025-09-02T22:44:57
108;Yago Silva;293.087.651-40;F;1990-05-06;2;;False;;;2025-03-12T09:36:20;ifarias;2025-03-12T09:36:20;ifarias;556121862913;yago14@yahoo.com.br;
109;Henry Pires;429.650.317-07;M;1959-01-09;1;;False;;;2025-07-09T06:19:52;rpacheco;2025-07-09T06:19:52;rpacheco;4164082731;henry51@yahoo.com.br;2025-11-03T19:43:12
110;Maria Julia Cardoso;682.043.915-60;F;1996-04-19;1;;False;;;2025-07-14T19:32:19;sfonseca;2025-07-14T19:32:19;sfonseca;552159466461;maria22@bol.com.br;2025-08-27T13:54:02
111;Gabriel Moura;75.941.320/0001-45;M;1985-09-07;1;;True;2025-07-10T10:45:22;araujoana-sophia;2025-02-09T06:37:33;vitor37;2025-02-09T06:37:33;vitor37;557196593738;gabriel67@yahoo.com.br;2025-11-28T15:06:04
112;Dr. Ravi Viana;174.256.308-26;M;1997-05-24;1;;True;2025-05-12T13:44:46;maria-isisfernandes;2025-04-14T06:46:13;kamilly69;2025-04-14T06:46:13;kamilly69;557120046448;dr.68@hotmail.com;2025-10-02T21:02:17
113;Dr. Antônio da Luz;235.798.604-29;M;1990-05-31;1;BDEZ4893;True;2025-11-11T04:24:16;dante31;2025-06-16T00:33:02;theonunes;2025-06-16T00:33:02;theonunes;5508133952301;dr.98@yahoo.com.br;2025-11-23T20:24:15
114;Dra. Daniela Vargas;14.569.730/0001-12;F;1997-06-23;1;;False;;;2025-01-30T16:29:03;elisavasconcelos;2025-01-30T16:29:03;elisavasconcelos;6165601213;dra.73@gmail.com;2025-11-25T21:16:07
115;Maria Isis Nascimento;645.728.103-62;F;1990-03-05;2;;True;2025-11-29T22:20:21;marcelo79;2025-11-08T16:45:27;sarahda-conceicao;2025-11-08T16:45:27;sarahda-conceicao;2192995092;maria43@bol.com.br;
116;Sara Lima;742.950.816-20;M;1967-08-06;2;;False;;;2025-06-05T15:57:57;enzo-gabriel49;2025-06-05T15:57:57;enzo-gabriel49;6166617216;sara37@gmail.com;
117;Maysa Peixoto;302.175.984-04;M;2007-04-29;1;;True;2025-06-22T01:30:11;britomaria-eduarda;2025-03-14T10:06:44;ninaramos;2025-03-14T10:06:44;ninaramos;555159795948;maysa40@hotmail.com;2025-07-18T21:25:50
118;Thales Gonçalves;453.172.680-44;F;2003-07-10;1;RFOF6650;False;;;2025-03-22T23:22:31;brodrigues;2025-03-22T23:22:31;brodrigues;8153392551;thales15@gmail.com;2025-08-24T20:54:25
119;Dra. Jade da Luz;16.250.743/0001-50;M;1978-01-22;1;XXJF7688;True;2025-11-12T11:02:37;monteirofernanda;2025-02-01T18:33:18;rebeca63;2025-02-01T18:33:18;rebeca63;5005229815;dra.93@hotmail.com;2025-10-10T12:25:45
120;Joaquim Pacheco;85.024.197/0001-51;;1979-10-18;2;EOXD5245;True;2025-09-13T16:46:57;joao-felipe95;2025-02-19T16:57:30;nicole26;2025-02-19T16:57:30;nicole26;552163667484;joaquim77@bol.com.br;
121;Ana Lívia das Neves;018.325.647-62;F;2007-01-27;1;XRYD6608;True;2025-10-20T16:45:38;anovaes;2025-10-03T02:09:24;tcastro;2025-10-03T02:09:24;tcastro;5508152132466;ana76@yahoo.com.br;2025-11-19T19:17:10
